GameName,Price,Rating,UserCounts,ConsoleCounts
.38 Ambush Alley,40,5,19,19
[PROTOTYPE],53,4.3799999999999999,16,16
007 Legends,39,3.7200000000000002,21,21
007: A View to a Kill,43,3.1200000000000001,25,25
007: Agent Under Fire,46,4.1200000000000001,44,44
007: Everything or Nothing,53,4.3899999999999997,43,43
007: From Russia with Love,48,3.5,72,72
007: Goldfinger,48,2.6099999999999999,24,24
007: Licence to Kill,44,3.1200000000000001,100,100
007: Nightfire,37,3.8900000000000001,38,38
007: Racing,52,3.2400000000000002,21,21
007: The Duel,40,4.2000000000000002,17,17
007: The Stealth Affair,45,2.8900000000000001,40,40
007: The World is Not Enough,60,3.1200000000000001,24,24
007: Tomorrow Never Dies,55,3.48,11,11
1 on 1 Government,41,3.3399999999999999,22,22
10 Mega Games: Vol. 1,46,3.2799999999999998,23,23
10 Megahits Vol. 2,47,2.9700000000000002,21,21
10 Megahits Vol. 3,37,3.96,17,17
100% Dynamite,37,3.3399999999999999,21,21
1000 Miglia: Great1000 Miles Rally,46,3.25,24,24
1000 Miglia: Volume I - 1927-1933,57,3.7000000000000002,19,19
1000cc Turbo,40,3.1800000000000002,24,24
102 Dalmatians: Puppies to the Rescue,39,3.7999999999999998,44,44
1080° Avalanche,50,3.54,22,22
1080° Snowboarding,36,4,21,21
10-Pin Bowling,41,3.8500000000000001,16,16
10th Frame,42,3.4399999999999999,105,105
10-Yard Fight,43,3.3999999999999999,57,57
10-Yard Fight '85,40,3.3700000000000001,18,18
18 Holes Pro Golf,40,4.1600000000000001,21,21
18 Wheeler,41,3.4900000000000002,20,20
18 Wheeler Deluxe,44,3.4399999999999999,19,19
18 Wheeler: American Pro Trucker,37,3.1800000000000002,21,21
180! Pub Darts,42,3.5699999999999998,36,36
1869,45,3.2000000000000002,21,21
187: Ride or Die,49,3.2400000000000002,19,19
1941: Counter Attack,38,3.4300000000000002,18,18
1942,31,4.6600000000000001,17,17
1942 Mission,39,4.1299999999999999,21,21
1942: Joint Strike,44,4.2800000000000002,17,17
1943 Kai: Midway Kaisen,43,4.0899999999999999,20,20
