GameName,Price,Rating,UserCounts,ConsoleCounts,CostCategory
.38 Ambush Alley,40,5,19,19,Average
007 Legends,39,3.7200000000000002,21,21,Average
007: A View to a Kill,43,3.1200000000000001,25,25,Average
007: Licence to Kill,44,3.1200000000000001,100,100,Average
007: Nightfire,37,3.8900000000000001,38,38,Average
007: The Duel,40,4.2000000000000002,17,17,Average
1 on 1 Government,41,3.3399999999999999,22,22,Average
10 Megahits Vol. 3,37,3.96,17,17,Average
100% Dynamite,37,3.3399999999999999,21,21,Average
1000cc Turbo,40,3.1800000000000002,24,24,Average
102 Dalmatians: Puppies to the Rescue,39,3.7999999999999998,44,44,Average
1080° Snowboarding,36,4,21,21,Average
10-Pin Bowling,41,3.8500000000000001,16,16,Average
10th Frame,42,3.4399999999999999,105,105,Average
10-Yard Fight,43,3.3999999999999999,57,57,Average
10-Yard Fight '85,40,3.3700000000000001,18,18,Average
18 Holes Pro Golf,40,4.1600000000000001,21,21,Average
18 Wheeler,41,3.4900000000000002,20,20,Average
18 Wheeler Deluxe,44,3.4399999999999999,19,19,Average
18 Wheeler: American Pro Trucker,37,3.1800000000000002,21,21,Average
180! Pub Darts,42,3.5699999999999998,36,36,Average
1941: Counter Attack,38,3.4300000000000002,18,18,Average
1942,31,4.6600000000000001,17,17,Average
1942 Mission,39,4.1299999999999999,21,21,Average
1942: Joint Strike,44,4.2800000000000002,17,17,Average
1943 Kai: Midway Kaisen,43,4.0899999999999999,20,20,Average
1943: Battle of Midway,44,3.48,19,19,Average
1943: Midway Kaisen,36,4.0899999999999999,21,21,Average
1943: The Battle of Midway,41,4.1600000000000001,22,22,Average
1984: The Game of Government Management,40,3.79,16,16,Average
1985,43,4.8099999999999996,20,20,Average
1991 Du Ma Racing,36,3.9300000000000002,22,22,Average
1991 Spikes,43,4.1600000000000001,12,12,Average
1999,39,3.4100000000000001,21,21,Average
19XX: The War Against Destiny,43,3.9300000000000002,20,20,Average
2 in 1: Spider-Man: Mysterio's Menace & X2: Wolverine's Revenge,32,3.54,23,23,Average
2 in 1: V-Rally 3 & Stuntman,41,4.5700000000000003,20,20,Average
2 On 2 Open Ice Challenge,42,3.46,18,18,Average
2 Player Soccer Squad,39,4.0899999999999999,20,20,Average
2002 FIFA World Cup,42,4.3799999999999999,40,40,Average
2010 FIFA World Cup,43,3.54,23,23,Average
2010: The Graphic Action Game,42,4.6600000000000001,25,25,Average
21,35,2.8999999999999999,26,26,Average
2400 A.D.,44,3.6600000000000001,23,23,Average
25 to Life,41,3.9399999999999999,23,23,Average
280zzap,40,3.6200000000000001,21,21,Average
3 Count Bout,36,4,19,19,Average
3 Count Bout / Fire Suplex,32,4.1600000000000001,22,22,Average
3 Jigen Kakutou Ballz,44,4.3099999999999996,24,24,Average
3 Ninjas Kick Back,39,3.9300000000000002,48,48,Average
32 in 1 Game Cartridge,42,3.27,22,22,Average
3-2-1,42,4.0899999999999999,20,20,Average
3D Asteroids,41,4.0599999999999996,20,20,Average
