Game,System,Publisher,Developer,Category,Year
[PROTOTYPE],Microsoft Xbox 360,Activision,Radical,Action,
007: Agent Under Fire,Microsoft Xbox,Electronic Arts,Electronic Arts,Action,
007: Agent Under Fire,Nintendo GameCube,Electronic Arts,Electronic Arts,Action,
007: Everything or Nothing,Nintendo GameCube,Electronic Arts,Electronic Arts,Action,
007: Everything or Nothing,Microsoft Xbox,Electronic Arts,Electronic Arts,Action,
007: Tomorrow Never Dies,Sony Playstation,Electronic Arts,Black Ops Entertainment,Action,1999.0
102 Dalmatians: Puppies to the Rescue,Nintendo Game Boy Color,Activision,Digital Eclipse Software,Action,2000.0
102 Dalmatians: Puppies to the Rescue,Sega Dreamcast,Eidos Interactive,Crystal Dynamics,Action,2000.0
1942: Joint Strike,Microsoft Xbox Live Arcade,Xbox LIVE Arcade,Backbone Entertainment,Action,2008.0
1942: Joint Strike,Microsoft Xbox 360,Xbox LIVE Arcade,Backbone Entertainment,Action,2008.0
1985,Commodore 64,Mastertronic,Severn Software,Action,1985.0
1985: The Day After,Commodore 64,Mastertronic,Severn Software,Action,1985.0
1985: The Day After,Sinclair ZX Spectrum,Mastertronic,Severn Software,Action,1985.0
1994: Ten Years After,Sinclair ZX Spectrum,Visions (Software Factor...,Visions (Software Factor...,Action,1983.0
1994: Ten Years After,Commodore 64,Visions (Software Factor...,Visions (Software Factor...,Action,1983.0
20 Tons,Sinclair ZX Spectrum,Spectrum Computing,Pete Cooke,Action,1985.0
2010: The Graphic Action Game,Coleco Vision,Coleco,Coleco,Action,1984.0
3 Ninjas Kick Back,Sega Nomad,Sony Computer Entertainment,Psygnosis Limited,Action,1994.0
3 Ninjas Kick Back,Sega Genesis,Sony Computer Entertainment,Psygnosis Limited,Action,1994.0
3 Ninjas Kick Back,Nintendo SNES,Sony Computer Entertainment,Malibu Games,Action,1994.0
300: March to Glory,Sony PSP,Warner Interactive Enter...,Collision Studios,Action,
3D Bat Attack,Sinclair ZX Spectrum,Cheetahsoft,Mark C. Jones,Action,1984.0
3-D Brickaway,Commodore 64,Avalon Hill,Avalon Hill,Action,1984.0
3-D Brickaway,Atari 2600,Avalon Hill,Avalon Hill,Action,1983.0
3D Maze of Gold,Sinclair ZX Spectrum,Gilsoft,Tim Gilberts,Action,1982.0
3D Monstruos,Sinclair ZX Spectrum,Investronica,Malcolm E. Evans,Action,1982.0
3DC,Sinclair ZX Spectrum,Hit-Pak,Fatman,Action,1987.0
3D-Pinball,Sinclair ZX Spectrum,Mastertronic,Mastertronic,Action,1989.0
3x3 Eyes: Juuma Houkan,Nintendo SNES,Banpresto,Banpresto,Action,1995.0
50 Cent: BotS,Microsoft Xbox 360,THQ,Swordfish Studios,Action,2009.0
9 Lives,Atari ST,Atari,Frames,Action,1990.0
9 Lives,Commodore Amiga,Atari,Frames,Action,1990.0
A Bug's Life,Nintendo N64,Activision,Traveller's Tales,Action,1999.0
A Day In the Life,Sinclair ZX Spectrum,Micromega,Micromega,Action,1985.0
A Dinosaur's Tale,Sega Nomad,Hi-Tech Expressions,Funcom Productions,Action,1994.0
A Dinosaur's Tale,Sega Genesis,Hi-Tech Expressions,Funcom Productions,Action,1994.0
A Nightmare on Elm Street,Commodore 64,Monarch Software,Westwood Associates,Action,1989.0
A.I.M. Racing,Valve Steam,1C Company,SkyRiver Studios,Action,2010.0
A.R.E.S.: Extinction Agenda,Valve Steam,ORiGO GAMES,Extend Studio,Action,2011.0
AA: True Soldiers,Microsoft Xbox 360,Ubisoft,High Voltage Software,Action,2007.0
Aaargh,Amstrad CPC,Melbourne House,Binary Design,Action,1989.0
Aaargh,Commodore Amiga,Electronic Arts,Arcadia Systems,Action,1988.0
Aaargh,MSX,Melbourne House,Binary Design,Action,1989.0
Aaargh,MSX 2,Melbourne House,Binary Design,Action,1989.0
Aaargh!,Sinclair ZX Spectrum,Melbourne House,Binary Design,Action,1989.0
Aaargh!,Commodore 64,Melbourne House,Binary Design,Action,1989.0
Aardvark,Commodore 64,Bug-Byte Software,Tago Electronics,Action,1986.0
ACE COMBAT 6,Microsoft Xbox 360,Namco,Namco,Action,2007.0
ACE COMBAT: AH,Microsoft Xbox 360,Namco,Namco,Action,2011.0
ACE COMBAT: AH Demo,Microsoft Xbox 360,Namco,Namco,Action,
Aces of the Galaxy,Microsoft Xbox Live Arcade,Xbox LIVE Arcade,Artech Studios,Action,2008.0
Action 52,Sega Nomad,Active,FarSight Studios,Action,1993.0
Action 52,Nintendo NES,Active,Active,Action,1991.0
Action 52,Sega Genesis,Active,FarSight Studios,Action,1993.0
