,Unnamed: 0,Game,System,Publisher,Developer,Category,Year
0,0,[PROTOTYPE],Microsoft Xbox 360,Activision,Radical,Action,
1,1,007: Agent Under Fire,Microsoft Xbox,Electronic Arts,Electronic Arts,Action,
2,2,007: Agent Under Fire,Nintendo GameCube,Electronic Arts,Electronic Arts,Action,
3,3,007: Everything or Nothing,Nintendo GameCube,Electronic Arts,Electronic Arts,Action,
4,4,007: Everything or Nothing,Microsoft Xbox,Electronic Arts,Electronic Arts,Action,
5,5,007: Tomorrow Never Dies,Sony Playstation,Electronic Arts,Black Ops Entertainment,Action,1999.0
6,6,102 Dalmatians: Puppies to the Rescue,Nintendo Game Boy Color,Activision,Digital Eclipse Software,Action,2000.0
7,7,102 Dalmatians: Puppies to the Rescue,Sega Dreamcast,Eidos Interactive,Crystal Dynamics,Action,2000.0
8,8,1942: Joint Strike,Microsoft Xbox Live Arcade,Xbox LIVE Arcade,Backbone Entertainment,Action,2008.0
9,9,1942: Joint Strike,Microsoft Xbox 360,Xbox LIVE Arcade,Backbone Entertainment,Action,2008.0
10,10,1985,Commodore 64,Mastertronic,Severn Software,Action,1985.0
11,11,1985: The Day After,Commodore 64,Mastertronic,Severn Software,Action,1985.0
12,12,1985: The Day After,Sinclair ZX Spectrum,Mastertronic,Severn Software,Action,1985.0
13,13,1994: Ten Years After,Sinclair ZX Spectrum,Visions (Software Factor...,Visions (Software Factor...,Action,1983.0
14,14,1994: Ten Years After,Commodore 64,Visions (Software Factor...,Visions (Software Factor...,Action,1983.0
15,15,20 Tons,Sinclair ZX Spectrum,Spectrum Computing,Pete Cooke,Action,1985.0
16,16,2010: The Graphic Action Game,Coleco Vision,Coleco,Coleco,Action,1984.0
17,17,3 Ninjas Kick Back,Sega Nomad,Sony Computer Entertainment,Psygnosis Limited,Action,1994.0
18,18,3 Ninjas Kick Back,Sega Genesis,Sony Computer Entertainment,Psygnosis Limited,Action,1994.0
19,19,3 Ninjas Kick Back,Nintendo SNES,Sony Computer Entertainment,Malibu Games,Action,1994.0
20,20,300: March to Glory,Sony PSP,Warner Interactive Enter...,Collision Studios,Action,
21,21,3D Bat Attack,Sinclair ZX Spectrum,Cheetahsoft,Mark C. Jones,Action,1984.0
22,22,3-D Brickaway,Commodore 64,Avalon Hill,Avalon Hill,Action,1984.0
23,23,3-D Brickaway,Atari 2600,Avalon Hill,Avalon Hill,Action,1983.0
24,24,3D Maze of Gold,Sinclair ZX Spectrum,Gilsoft,Tim Gilberts,Action,1982.0
25,25,3D Monstruos,Sinclair ZX Spectrum,Investronica,Malcolm E. Evans,Action,1982.0
26,26,3DC,Sinclair ZX Spectrum,Hit-Pak,Fatman,Action,1987.0
27,27,3D-Pinball,Sinclair ZX Spectrum,Mastertronic,Mastertronic,Action,1989.0
28,28,3x3 Eyes: Juuma Houkan,Nintendo SNES,Banpresto,Banpresto,Action,1995.0
29,29,50 Cent: BotS,Microsoft Xbox 360,THQ,Swordfish Studios,Action,2009.0
30,30,9 Lives,Atari ST,Atari,Frames,Action,1990.0
31,31,9 Lives,Commodore Amiga,Atari,Frames,Action,1990.0
32,32,A Bug's Life,Nintendo N64,Activision,Traveller's Tales,Action,1999.0
33,33,A Day In the Life,Sinclair ZX Spectrum,Micromega,Micromega,Action,1985.0
